sent_1,sent_2,sent_3,gruen_score,sent_1_syllable,sent_2_syllable,sent_3_syllable
Be honest with nature , Adhere to its will not yours , To decide on your.,0.2958245932070612,6,7,5
Nature lays bare her , Secrets and shields them from us , Read by the stars.,0.7794388087623498,5,7,4
People who deny , The nature of their own soul , Can only see themselves.,0.682457051980651,5,7,6
Back to nature , With a tin can and a piece ," Of bread, Michael Hobley.",0.6963689178176667,4,7,6
It's so beautiful , Here in nature just before , It's too hot to stop.,0.4593471310374131,5,7,5
Nature's embrace , Winter's frigid touch soothes me , Summer's warmth awaits.,0.3585319005948727,4,7,5
"In this city, you ", Need to let nature take you , In her beautiful.,0.2888665349832493,5,7,5
The people of Japan , Are truly the weirdest group , I'm a nature fan.,0.36242425636737075,6,7,5
Just listen to your ," Heart, trust your instinct nature ", Is calling you back?,0.4661027243860512,5,7,5
"The city, nature ", Sometimes so calm and quiet , Always so amazing.,0.4368661519054026,5,7,6
I wonder what the , Universe was like before ," Man, nature took care.",0.6176632455619903,5,7,5
We are so lucky , In this age of nature , Watching is pure joy.,0.6955551832075424,5,6,5
"Leave me alone, I ", Need to get away from you ," I know, it's just nature.",0.6311714451481277,5,7,6
Living in nature ," Of late, I'm beginning to ", See everything red.,0.40735361981565615,5,7,5
The magic of life , Natural perfection , Witness by nature.,0.3228139571546754,5,6,5
I am not surprised , Nature will not tolerate , Human stupidity.,0.8516492737351817,5,7,6
In this complex world , Nature is the most simple , It just follows nature.,0.5986274102709165,5,7,6
In the natural ," Universe, we must believe ", Animals have senses.,0.8769381568004286,5,7,6
I don't understand , Why the nature of things , Is so important?,0.7678573305781101,5,6,5
The city breathes , As nature feeds and grows dark , A tangible fear.,0.6692286503808866,4,7,5
The natural world , So full of life and beauty , This lady nature.,0.20579150881595448,5,7,5
Balance in nature , Predators and prey are balanced , Love is in the air.,0.7630359279081768,5,8,5
Take a moment to , Admire all that is nature , Never fails me yet.,0.6362953720170115,5,7,5
In the nature park , The flow of the river seems , Back to its natural.,0.42371835455550605,5,7,6
The nature of man , Can't ignore the natural , World of violence.,0.600688623294869,5,7,5
Let's observe nature , Enjoy the beauty of nature ," Can't stop working, tho.",0.6414215859340093,5,8,5
Be humble in life , Balance within the natural , World of nature and.,0.5140204776665855,5,8,5
I'm so fucking bored , I started a nature call , But I'll keep watching.,0.808721005366345,5,7,5
"In nature, silence ", Stillness abounds with possibilities ," Peace within, soul finds.",0.3686712697066469,5,10,5
"In the jungle, silence ", The calm presence of nature , Beethoven's deaf.,0.383042407029842,6,7,4
Let's be honest and ," Admit it, we live off the ", Fucking nature.,0.6071324001634995,5,7,4
Be easy with nature , It's not just for scientists , And we're both guilty.,0.5476828580743467,6,7,5
You better leave it , To nature than try and get ," It natural, ugh?",0.5788422654550125,5,7,5
People are so clueless ," About nature, it's insane ", And humbling at.,0.24880590447347456,6,7,5
Life is but a shadow , A veil between the spirit , And nature of man.,0.595214508593298,6,7,5
Balance in nature , Predators and prey depend on , Each other's existence.,0.6537045428545544,5,8,6
It's amazing how , Human nature is nature , Needs natural change.,0.6592950507270119,5,7,5
We are a ghost town , Nature has its ways of reclaiming , A natural course.,0.4957602377178583,5,9,5
Be a part of the , Ritual of nature in , This beautiful park.,0.7826239354856543,5,7,5
I can't stop thinking , Of all that nature has to , Offer for me to.,0.6473934811546054,5,7,5
I am in a fog , The nature of my surroundings , I need to clear my head.,0.616144767265338,5,8,6
Balance in nature , Predators and prey coexist , Blessing of Nature.,0.6576030694251995,5,8,5
Nature is so weak , Yet so full of hatred and , Fear it's oppressive.,0.7701612287427522,5,7,5
There is a certain , Beauty to nature that I , Can't find in people.,0.7086146140595236,5,7,5
We are not meant , To be here just go and leave , The nature alone.,0.37060464692616685,4,7,5
Nature's intention , Beyond the plan of a creator , I embrace nature.,0.395838400730024,5,9,5
People be amazed , At what I can remember , From a nature walk.,0.4141072651667062,5,7,5
Take a walk in the , Rain stay completely naked , Be free in nature.,0.6672348312793632,5,7,5
The true nature of , Things cannot always be changed , Change to survive.,0.2909114977690148,5,7,4
I miss nature , The long conversations and , The smelling good.,0.1872474726103831,4,7,4
"Autumn is here, I "," Remind you yesterday, she ", Recites autumn.,0.48932411588583896,5,7,4
Autumn sun setting , Your presence in silence soothes , End the search again.,0.36198904123156506,5,7,5
Today was amazing , Driving home in the dusk with , The smell of autumn.,0.5673158643965379,6,7,5
"Hello, autumn, I ", Saw your beautiful sun rise , Looks wonderful now.,0.45661334091330635,5,7,5
Autumn Equinox , Sunset and Sunset Sunset , Again and again.,0.6153734647046194,5,7,5
Autumn steaming hot ," Rain falls endlessly, cool ", Spring is far away.,0.4226406020080371,5,6,5
I don't know what I , Do's this afternoon I feel , Like autumn form.,0.2731723689761846,5,7,4
Autumn air fills the , room with a nostalgic , Sweet blur of memories.,0.6425316143192332,5,6,6
On the edge of sleep , Autumn sunshine streaming in , Warm like my heart out.,0.399108205029594,5,7,5
Fall in autumn , Weary travellers ride in , On the lonely wind.,0.7871292206273799,4,7,5
I was sleeping good , And I woke up to the scent , Of burning autumn.,0.812058246609473,5,7,5
Autumn heat wilts , Under sunsets sheathed in , Melts of icy gold.,0.661267647897742,4,6,5
Autumn is coming , Soon I will be full of hope , Lift me to the sky.,0.7131286917418662,5,7,5
Autumn wind blows cold , My heart yearns for summer's warmth , Where has autumn gone?,0.8405576775021013,5,7,5
Autumn winds coming , Scents of burning leaves and wood , Her breath perfumed by red.,0.539537104438259,5,7,6
Autumn sunrays streams ," Caressing my face, I smile ", Holiday thoughts.,0.299726163305271,5,7,4
Autumn Equinox , Equinox of the soul's true , Equality for Dudes.,0.3667345997729742,5,7,6
"Autumn, rain falling ", On my window pane in sleep , I long for summer.,0.5165305138549052,5,7,5
Autumn air fills the , house with a sleepy sweet scent , Morning soon to come.,0.708871825613816,5,7,5
Autumn wind blows hard , Parading through the mango , In sweet melancholy.,0.6034697306852946,5,7,6
It's almost autumn ," Winter is coming, time to ", Shop out the closets.,0.4269604488985909,5,7,5
Autumn Equinox , Sunset and Sunset Sunset , Again this season.,0.6145526874084009,5,7,5
Autumn Equinox , Rain drumming on the window , Incense in the air.,0.5650772076022438,5,7,5
Autumn afternoon , Rain drumming on the tin roof , Smell of cut hay.,0.6647841375048154,5,7,4
Watch the forest burn , Autumn colours fill the sky , Wishing I were dead.,0.7143137744125617,5,7,5
Autumn winds blow swift , Her breath on the mountain pass ," At dusk, it's Hermo.",0.5740317835990282,5,7,5
"Listen, ladle, you ", Scum of humanity , Smell the autumn.,0.780964818379146,5,6,4
Autumn winds arrive , Parading through the tree tops , Leafless trees sing out.,0.7390000312947989,5,7,5
Autumn winds arrive , Parading through the tree tops , Leaves autumnal dance.,0.6302467363088741,5,7,5
Autumn leaves the sky , And rains fades the blue coloured , Notes to the memory.,0.3108266616505826,5,7,6
Autumn Equinox , Today marks the beginning ," Of Fall, Fall Fall Fast.",0.7088636028278815,5,7,5
